t (us),V (V),sigmaV,R (Kohm),C (nF),Vpp (Volt),T (ms),
4,9.04,0.08,0.996,99,10,2,
12,8.40,,,,,,
20,7.76,,,,,,
28,7.20,,,,,,
36,6.64,,,,,,
44,6.16,,,,,,
52,5.68,,,,,,
60,5.28,,,,,,
68,4.88,,,,,,
76,4.56,,,,,,
84,4.16,,,,,,
92,3.92,,,,,,
100,3.60,,,,,,
108,3.36,,,,,,
116,3.12,,,,,,
124,2.88,,,,,,
132,2.64,,,,,,
140,2.48,,,,,,
148,2.24,,,,,,
156,2.08,,,,,,
164,1.92,,,,,,
172,1.76,,,,,,
180,1.68,,,,,,
188,1.52,,,,,,
196,1.44,,,,,,
204,1.36,,,,,,
212,1.20,,,,,,
220,1.12,,,,,,
240,0.96,,,,,,
260,0.80,,,,,,
280,0.64,,,,,,
300,0.56,,,,,,
320,0.48,,,,,,
340,0.40,,,,,,
360,0.32,,,,,,
380,0.24,,,,,,
400,0.24,,,,,,
420,0.16,,,,,,
440,0.16,,,,,,
460,0.08,,,,,,
480,0.08,,,,,,
500,0.00
