t(us),VR (mV),L (Hr),R (k0hm),T(ms),Vpp (V)
0,-1820,47,0.996,50,1.984
2,-1780,82,,,
4,-1720,,,,
8,-1540,,,,
12,-1360,,,,
16,-1220,,,,
20,-1060,,,,
24,-940,,,,
28,-800,,,,
32,-680,,,,
36,-560,,,,
40,-440,,,,
44,-340,,,,
48,-240,,,,
52,-140,,,,
56,-40,,,,
60,40,,,,
64,120,,,,
68,200,,,,
72,280,,,,
76,360,,,,
80,420,,,,
84,480,,,,
88,560,,,,
92,600,,,,
96,660,,,,
100,720,,,,
108,820,,,,
116,920,,,,
124,1000,,,,
132,1060,,,,
140,1140,,,,
148,1200,,,,
156,1260,,,,
164,1300,,,,
172,1340,,,,
180,1380,,,,
188,1420,,,,
196,1460,,,,
204,1480,,,,
212,1520,,,,
220,1540,,,,
230,1560,,,,
240,1600,,,,
250,1620,,,,
260,1640,,,,
270,1660,,,,
280,1660,,,,
290,1680,,,,
300,1700,,,,
320,1720,,,,
340,1720,,,,
360,1740,,,,
380,1740,,,,
400,1760
