R (ohm),C (nF),L (mHr),RL,t (us),V (Volt),Vpp,salto: 4.5,V REALE,Freq (Hz)
1760,99,82,58.5,0,0.00,8,,,20
,,,,2,0.36,,,,
,,,,8,0.80,,,,
,,,,12,1.40,,,,
,,,,16,1.88,,,,
,,,,20,2.32,,,,
,,,,24,2.72,,,,
,,,,28,3.08,,,,
,,,,32,3.40,,,,
,,,,36,3.68,,,,
,,,,40,3.96,,,,
,,,,44,4.16,,,,
,,,,48,4.40,,,,
,,,,52,4.56,,,,
,,,,56,4.72,,,,
,,,,60,4.88,,,,
,,,,64,5.04,,,,
,,,,68,5.08,,,,
,,,,72,5.16,,,,
,,,,76,5.24,,,,
,,,,80,5.28,,,,
,,,,84,5.36,,,,
,,,,88,5.36,,,,
,,,,92,5.40,,,,
,,,,96,5.40,,,,
,,,,100,5.40,,,,
,,,,104,5.36,,,,
,,,,108,5.36,,,,
,,,,112,5.32,,,,
,,,,116,5.28,,,,
,,,,120,5.24,,,,
,,,,124,5.20,,,,
,,,,128,5.16,,,,
,,,,132,5.08,,,,
,,,,136,5.04,,,,
,,,,140,4.96,,,,
,,,,144,4.88,,,,
,,,,148,4.80,,,,
,,,,152,4.76,,,,
,,,,156,4.68,,,,
,,,,160,4.60,,,,
,,,,166,4.48,,,,
,,,,172,4.32,,,,
,,,,180,4.16,,,,
,,,,186,4.04,,,,
,,,,194,3.84,,,,
,,,,200,3.76,,,,
,,,,210,3.52,,,,
,,,,220,3.32,,,,
,,,,230,3.12,,,,
,,,,240,2.92,,,,
,,,,250,2.72,,,,
,,,,260,2.56,,,,
,,,,270,2.36,,,,
,,,,280,2.20,,,,
,,,,290,2.04,,,,
,,,,300,1.92,,,,
,,,,310,1.76,,,,
,,,,320,1.64,,,,
,,,,330,1.52,,,,
,,,,340,1.40,,,,
,,,,350,1.28,,,,
,,,,360,1.20,,,,
,,,,370,1.12,,,,
,,,,380,1.00,,,,
,,,,390,0.92,,,,
,,,,400,0.84,,,,
,,,,410,0.80,,,,
,,,,420,0.72,,,,
,,,,430,0.68,,,,
,,,,440,0.60,,,,
,,,,450,0.56,,,,
,,,,460,0.52,,,,
,,,,470,0.48,,,,
,,,,480,0.44,,,,

