R (ohm),C (nF),L (mHr),RL,t (us),V (mV),Vpp,salto: 4.5,V REALE,Freq (Hz)
60,99,82,58.5,0,19,8,,3.96,20
,,,,10,74,,,,
,,,,20,120,,,,
,,,,30,180,,,,
,,,,40,210,,,,
,,,,50,260,,,,
,,,,60,290,,,,
,,,,70,330,,,,
,,,,80,360,,,,
,,,,90,380,,,,
,,,,100,410,,,,
,,,,110,420,,,,
,,,,120,430,,,,
,,,,130,440,,,,
,,,,140,440,,,,
,,,,150,430,,,,
,,,,160,420,,,,
,,,,170,410,,,,
,,,,180,390,,,,
,,,,200,340,,,,
,,,,220,280,,,,
,,,,240,200,,,,
,,,,270,90,,,,
,,,,300,-30,,,,
,,,,320,-100,,,,
,,,,340,-160,,,,
,,,,360,-220,,,,
,,,,380,-260,,,,
,,,,390,-280,,,,
,,,,400,-300,,,,
,,,,410,-300,,,,
,,,,420,-310,,,,
,,,,430,-310,,,,
,,,,440,-310,,,,
,,,,450,-300,,,,
,,,,460,-290,,,,
,,,,470,-280,,,,
,,,,480,-260,,,,
,,,,500,-230,,,,
,,,,520,-180,,,,
,,,,540,-130,,,,
,,,,560,-60,,,,
,,,,590,20,,,,
,,,,620,100,,,,
,,,,640,150,,,,
,,,,660,190,,,,
,,,,670,200,,,,
,,,,680,220,,,,
,,,,690,230,,,,
,,,,700,220,,,,
,,,,710,240,,,,
,,,,720,240,,,,
,,,,730,240,,,,
,,,,740,240,,,,
,,,,750,230,,,,
,,,,760,220,,,,
,,,,770,210,,,,
,,,,780,200,,,,
,,,,790,180,,,,
,,,,800,160,,,,
,,,,820,130,,,,
,,,,850,60,,,,
,,,,880,0,,,,
,,,,890,-19,,,,
,,,,920,-80,,,,
,,,,940,-110,,,,
,,,,960,-140,,,,
,,,,970,-150,,,,
,,,,990,-160,,,,
,,,,1000,-170,,,,
,,,,1010,-180,,,,
,,,,1030,-170,,,,
,,,,1040,-160,,,,
,,,,1060,-150,,,,
,,,,1080,-130,,,,
,,,,1110,-90,,,,
,,,,1160,-10,,,,
,,,,1200,60,,,,
,,,,1220,80,,,,
,,,,1240,100,,,,
,,,,1270,130,,,,
,,,,1290,140,,,,
,,,,1320,130,,,,
,,,,1340,130,,,,
,,,,1370,100,,,,
,,,,1410,70,,,,
,,,,1460,10,,,,
,,,,1500,-40,,,,
,,,,1520,-60,,,,
,,,,1540,-70,,,,
,,,,1560,-90,,,,
,,,,1580,-90,,,,
,,,,1610,-90,,,,
,,,,1640,-80,,,,
,,,,1690,-50,,,,
,,,,1750,0,,,,
,,,,1810,60,,,,
,,,,1860,80,,,,
,,,,1920,70,,,,
,,,,2000,30,,,,
,,,,2070,-10,,,,
,,,,2110,-30,,,,
,,,,2180,-50,,,,
,,,,2290,-10,,,,
,,,,2440,40,,,,
,,,,2540,40,,,,
,,,,2660,-10,,,,
,,,,2750,-20,,,,
,,,,2900,0
