R (Kohm),C (nF),L (mHr),RL,t (us),V (Volt),Vpp,salto: 4.5,V REALE,Freq (Hz)
10,99,82,58.5,0,7.48,8,,,20
,,,,40,7.24,,,,
,,,,80,7.00,,,,
,,,,120,6.72,,,,
,,,,160,6.48,,,,
,,,,200,6.30,,,,
,,,,240,5.96,,,,
,,,,280,5.76,,,,
,,,,320,5.52,,,,
,,,,360,5.32,,,,
,,,,400,5.08,,,,
,,,,440,4.88,,,,
,,,,480,4.68,,,,
,,,,520,4.48,,,,
,,,,560,4.32,,,,
,,,,600,4.16,,,,
,,,,640,3.96,,,,
,,,,680,3.84,,,,
,,,,720,3.64,,,,
,,,,760,3.52,,,,
,,,,800,3.36,,,,
,,,,840,3.24,,,,
,,,,880,3.08,,,,
,,,,920,3.00,,,,
,,,,960,2.88,,,,
,,,,1000,2.76,,,,
,,,,1040,2.64,,,,
,,,,1080,2.52,,,,
,,,,1120,2.44,,,,
,,,,1160,2.32,,,,
,,,,1200,2.24,,,,
,,,,1240,2.12,,,,
,,,,1280,2.04,,,,
,,,,1320,1.96,,,,
,,,,1360,1.88,,,,
,,,,1400,1.80,,,,
,,,,1440,1.76,,,,
,,,,1480,1.68,,,,
,,,,1520,1.60,,,,
,,,,1560,1.56,,,,
,,,,1600,1.48,,,,
,,,,1640,1.44,,,,
,,,,1680,1.36,,,,
,,,,1720,1.32,,,,
,,,,1760,1.28,,,,
,,,,1800,1.20,,,,
,,,,1840,1.16,,,,
,,,,1880,1.12,,,,
,,,,1920,1.08,,,,
,,,,1960,1.04,,,,
,,,,2000,1.00,,,,
,,,,2080,0.92,,,,
,,,,2160,0.84,,,,
,,,,2240,0.76,,,,
,,,,2320,0.72,,,,
,,,,2400,0.64,,,,
,,,,2480,0.60,,,,
,,,,2560,0.56,,,,
,,,,2640,0.52,,,,
,,,,2720,0.48,,,,
,,,,2800,0.44,,,,
,,,,2880,0.40,,,,
,,,,2960,0.40,,,,
,,,,3040,0.36,,,,
,,,,3120,0.32,,,,
,,,,3200,0.32,,,,
,,,,3280,0.28,,,,
,,,,3400,0.24,,,,
,,,,3520,0.20,,,,
,,,,3680,0.20,,,,
,,,,3840,0.16,,,,
,,,,3920,0.16,,,,
,,,,4120,0.12,,,,
,,,,4320,0.12,,,,
,,,,4520,0.08,,,,
,,,,4640,0.08,,,,
,,,,4760,0.08,,,,
,,,,5080,0.04,,,,
,,,,5320,0.04,,,,
,,,,5600,0.04,,,,
,,,,5840,0.04,,,,
,,,,6160,0.04,,,,
,,,,6320,0.00,,,,
,,,,6560,0.00
