R (kohm),Freq (Hz),Vin,VR,VC,faseR (deg),faseC (deg),sigmaV_R,sigmaV_C,sigmaF_R,sigmaF_C,sigmaVin
9.95,100,2.56,0.16,2.56,85.8,-2.5,0.01,0.08,4,1,0.040000000000000001
,200,2.56,0.30,2.52,82.7,-7.2,0.01,0.08,2,1,
,400,2.56,0.60,2.48,76.5,-12.9,0.01,0.08,1,1,
,800,2.56,1.10,2.28,63.9,-26.2,0.04,0.08,1,1,
,1600,2.52,1.74,1.80,46.3,-42.8,0.04,0.08,1,2,
,3200,2.48,2.20,1.16,27.4,-60.5,0.04,0.04,1,3,
,6400,2.48,2.40,0.64,14.8,-76.4,0.04,0.04,2,3,
,12800,2.48,2.48,0.32,7.4,-82.9,0.04,0.04,2,3,
,25600,2.52,2.48,0.16,3.2,-84.8,0.04,0.04,2,3,
,51200,2.52,2.52,0.08,1.1,-90.0,0.04,0.04,3,5,
,102400,2.52,2.52,0.08,0.7,-90.0,0.04,0.04,3,5,

