R (kOhm),R_L,Freq (Hz),Vin,VR,V_LC,faseR (deg),faseLC (deg),sigmaV_in,sigmaV_R,sigmaV_LC,sigmaF_R,sigmaF_LC
9.95,40,100,2.52,0.16,2.52,86.4,-2.88,0.08,0.02,0.04,2.4,0.8
,,140,2.52,0.22,2.52,85.7,-5.03,0.08,0.01,0.04,1.5,1.5
,,200,2.52,0.30,2.52,82.8,-6.48,0.08,0.01,0.04,1.5,1.5
,,280,2.52,0.42,2.52,80.7,-8.87,0.08,0.02,0.04,2.5,2.5
,,400,2.52,0.60,2.48,76.0,-13.80,0.08,0.01,0.04,1.0,2.0
,,560,2.52,0.81,2.40,71.0,-18.10,0.08,0.03,0.12,1.5,1.0
,,800,2.52,1.10,2.28,63.6,-25.90,0.08,0.08,0.12,1.0,1.0
,,1130,2.52,1.44,2.08,54.9,-33.40,0.08,0.08,0.08,2.0,2.0
,,1600,2.48,1.78,1.76,44.3,-44.70,0.08,0.08,0.08,1.5,2.0
,,2260,2.48,2.08,1.36,33.5,-55.30,0.08,0.08,0.08,1.5,2.0
,,3200,2.48,2.28,0.96,22.6,-62.70,0.08,0.08,0.08,2.0,4.0
,,4500,2.48,2.44,0.56,13.0,-72.60,0.08,0.08,0.08,2.5,7.0
,,6400,2.48,2.48,0.16,3.7,-88.47,0.08,0.08,0.08,2.0,10.0
,,9000,2.48,2.48,0.20,-4.9,-86.83,0.08,0.08,0.08,3.0,12.0
,,12800,2.48,2.44,0.60,-14.3,75.50,0.08,0.08,0.08,2.0,7.0
,,18000,2.48,2.28,1.04,-24.6,65.90,0.08,0.08,0.08,2.0,4.0
,,25600,2.48,2.08,1.48,-35.7,54.50,0.08,0.08,0.08,1.5,2.0
,,36200,2.48,1.76,1.84,-47.9,43.80,0.08,0.08,0.08,2.5,3.5
,,51200,2.52,1.40,2.16,-59.0,32.50,0.08,0.08,0.08,2.0,2.5
,,72400,2.52,1.04,2.36,-68.8,23.00,0.08,0.08,0.08,3.0,5.0
,,102400,2.52,0.70,2.48,-79.6,16.20,0.08,0.08,0.08,3.0,2.0
,,144800,2.56,0.44,2.56,-86.5,9.90,0.08,0.08,0.08,3.0,2.5
,,204800,2.56,0.21,2.56,-93.0,3.20,0.08,0.08,0.08,5.0,0.0
,,,,,,,,0.08,0.08,0.08,,
,,,,,,,,0.08,0.08,0.08
