Emettitore,Ricevitore,alpha (deg) NO,V (Volt) NO,sigmaV NO,I (mA),sigmaI,sigmaalpha,scala,alpha (deg),V (Volt),sigmaV
10cm,100cm,0,1.700,0.020,0.400,0.020,passo 5deg,x30,0,1.63,0.01
,,15,1.630,0.020,0.380,0.020,,,15,1.59,0.01
,,30,1.450,0.020,0.340,0.020,,,30,1.41,0.02
,,45,1.160,0.020,0.260,0.020,,,45,1.14,0.01
,,60,0.800,0.010,0.160,0.020,,,60,0.78,0.01
,,75,0.350,0.010,0.080,0.020,,,75,0.35,0.02
,,90,0.001,0.001,0.000,0.020,,,90,0.00,0.01
,,-15,1.640,0.020,0.380,0.020,,,105,0.31,0.02
,,-30,1.460,0.020,0.340,0.020,,,120,0.76,0.01
,,-45,1.180,0.020,0.260,0.020,,,135,1.13,0.01
,,-60,0.800,0.010,0.180,0.020,,,150,1.40,0.01
,,-75,0.360,0.010,0.080,0.020,,,165,1.58,0.02
,,-90,0.001,0.001,0.000,0.020,,,180,1.65,0.01
,,,,,,,,,-15,1.59,0.02
,,,,,,,,,-30,1.41,0.02
,,,,,,,,,-45,1.14,0.01
,,,,,,,,,-60,0.79,0.02
,,,,,,,,,-75,0.32,0.01
,,,,,,,,,-90,0.00,0.01
,,,,,,,,,-105,0.31,0.02
,,,,,,,,,-120,0.78,0.02
,,,,,,,,,-135,1.17,0.02
,,,,,,,,,-150,1.41,0.01
,,,,,,,,,-165,1.60,0.02
,,,,,,,,,-180,1.65,0.02
